fuente,titulo,url,fecha,contenido,relevancia
TechCrunch,Mantis Biotech is making ‘digital twins’ of humans to help solve medicine’s data availability problem,https://techcrunch.com/2026/03/30/mantis-biotech-is-making-digital-twins-of-humans-to-help-solve-medicines-data-availability-problem/,2026-03-30 00:00:00,"Large language models trained on vast datasets could speed genomics research, streamline clinical documentation, improve real-time diagnostics, support clinical decision-making, accelerate drug discovery, and even generate synthetic data to advance experiments.
But their promise to transform biomedical research often runs into a bottleneck: beyond the structured data healthcare relies on, these models struggle in edge cases like rare diseases and unusual conditions, where reliable, representative data is scarce.
New York-basedMantis Biotechclaims it’s developing the solution to fill this data availability gap. The company’s platform integrates disparate sources of data to make synthetic datasets that can be used to build so-called “digital twins” of the human body: physics-based, predictive models of anatomy, physiology, and behavior.
The company is pitching these digital twins for use in data aggregation and analysis. These digital twins could be used for studying and testing new medical procedures, training surgical robots, and simulating and predicting medical issues or even patterns of behavior. For example, a sports team could predict the likelihood of a specific NFL player developing an Achilles heel injury based on their recent performance, training load, diet, and how long they’ve been active, Mantis’ founder and CEO Georgia Witchel explained to TechCrunch in a recent interview.
To build these twins, Mantis’ platform first takes data from a variety of sources such as textbooks, motion capture cameras, biometric sensors, training logs and medical imaging. Then, it uses an LLM-based system to route, validate, and synthesize the various data streams, and runs all that information through a physics engine to create high-fidelity renders of that dataset, which can then be used to train predictive models.
“We’re able to take all these disparate data sources and then turn them into predictive models for how people are going to perform. So anytime you want to predict how a human being is going to be performing, that is a really good use case for our technology,” Witchel said.
The physics engine layer is key here, Witchel told TechCrunch, because it helps the platform enhance the available information by grounding the generated synthetic data and realistically modeling the physics of anatomy.
“If I asked you to do hand-pose estimation for someone who is missing a finger, it would be really, really hard, because there are no publicly available datasets of labeled hand positions of someone who is missing a finger. We could generate that dataset really, really easily, because we just take our physics model and we say, remove finger X, regenerate model,” she said.
Since Mantis’ platform fills gaps in data sources, Witchel thinks there’s potential for it to be used widely across the biomedical industry, where information on procedures or patients can be difficult to access, is unstructured or siloed into various sources. She stressed edge cases or rare diseases, where data is hard to obtain since there are often ethical and regulatory constraints around including patients’ data in public datasets, or using it for training AI models.
“You know how when you see a three-year-old running around, and they have a Barbie, and they’re holding it by one leg and smashing it against a table? I want people to have that mindset with our digital twins,” she said. “I think that’s going to open up people to this idea that humans can be tested on when you’re using virtual humans. I feel currently, people operate with the exact opposite mindset, which totally makes sense, because people’s privacy should be respected. In fact, I don’t really think people’s data should be exploited at all, especially when you have these digital twins.”
For now, Mantis has seen success in professional sports, presumably because there is a need to model high-performing athletes. Witchel said one of the startup’s main clients is an NBA team.
“We create these digital representations of the athletes, where it basically shows here’s how this athlete has jumped, not just today, but for every single day in the past year, and here’s how their jumps are changing over time compared to the amount that they’re sleeping, or compared to how many times they lift their arms above their head,” she explained.
The startup recently raised $7.4 million in seed funding led by Decibel VC, with participation from Y Combinator, a few angel investors, and Liquid 2. The funding will be used for hiring, advertising, marketing and go-to-market functions.
The next step for Mantis, Witchel said, is to continue building out the tech, and eventually release the platform to the general public, targeting preventative healthcare. The company is also working to cater to pharmaceutical labs and researchers working on FDA trials, aiming to deliver insights into how patients are responding to treatments.",9
TechCrunch,"ByteDance’s new AI video generation model, Dreamina Seedance 2.0, comes to CapCut",https://techcrunch.com/2026/03/26/bytedances-new-ai-video-generation-model-dreamina-seedance-2-0-comes-to-capcut/,2026-03-26 00:00:00,"OpenAI may be dialing back its efforts in the video generation market with theshutdown of its Sora app, but ByteDance on Thursday confirmed that its new audio and video model,Dreamina Seedance 2.0, is now rolling out in its editing platform,CapCut.
ByteDance says the model allows creators to draft, edit, and sync video and audio content by using prompts, images, or reference videos.
The phased rollout will begin with CapCut users in Brazil, Indonesia, Malaysia, Mexico, the Philippines, Thailand, and Vietnam, with more markets added over time.
The news of the launch in CapCut follows a recent report that said themodel’s global rollout would be paused, while it worked to address intellectual property issues that drewcriticism from Hollywoodoveralleged copyright infringement.That likely explains the limited number of markets where the model is currently available within CapCut.
In China, the model is available to users of ByteDance’s Jianying app.
The video generation model works without reference images, even if the creator only uses a few words to describe the scene they have in mind, ByteDance says in itsannouncement. CapCut is also good at rendering realistic textures, movement, and lighting across a range of visual perspectives and angles, which the company notes could be used to edit, enhance, or correct creators’ own footage.
Another use case would be allowing creators to test potential ideas based on early concepts or sketches before filming the real video.
In addition, Dreamina Seedance 2.0 can be used for a wide range of content, including cooking recipes, fitness tutorials, business or product overviews, and videos with motion or action-focused content, where AI video models have historically faced challenges, the company explains.
At launch, the model supports clips of up to 15 seconds long across six aspect ratios.
In CapCut, the model will roll out across different areas, including editing features such as AI Video and generation tools like Video Studio. It will also come to ByteDance’s AI generation platform, Dreamina, and its marketing platform, Pippit.
Given its ability to create realistic content, ByteDance says it has added safety restrictions, so the model won’t have the ability to make videos from images or videos that contain real faces. CapCut will also block the use of unauthorized generation of intellectual property. (However, if the restrictions were working properly, the model would be available now in the United States. Likely, more tweaks are still being made.)
The content produced by Dreamina Seedance 2.0 will also include an invisible watermark, which will help to identify content made with the model when it’s shared off-platform, ByteDance added. This could aid in things like takedown requests from rights holders in the event that the model allowed copyright content through.
ByteDance says it will partner with experts and creative communities as the model rolls out to iterate and improve upon the model’s capabilities.",9
TechCrunch,"Google unveils TurboQuant, a new AI memory compression algorithm — and yes, the internet is calling it ‘Pied Piper’",https://techcrunch.com/2026/03/25/google-turboquant-ai-memory-compression-silicon-valley-pied-piper/,2026-03-25 00:00:00,"If Google’s AI researchers had a sense of humor, they would have calledTurboQuant, the new, ultra-efficient AI memory compression algorithm announced Tuesday, “Pied Piper” — or, atleastthat’swhattheinternetthinks.
The joke is a reference to the fictional startup Pied Piper that was the focus of HBO’s “Silicon Valley” TV series that ran from 2014 to 2019.
The show followed the startup’s founders as they navigated the tech ecosystem, facing challenges like competition from larger companies, fundraising, technology and product issues, and even (much to our delight)wowing the judges at a fictional version ofTechCrunch Disrupt.
Pied Piper’s breakthrough technology on the TV show was a compression algorithm that greatly reduced file sizes with near-lossless compression. Google Research’s newTurboQuantis also about extreme compression without quality loss, but applied to a core bottleneck in AI systems. Hence, the comparisons.
So Google TurboQuant is basically Pied Piper and just hit a Weismann Score of 5.2https://t.co/WievkwijjDpic.twitter.com/4rirvu2YyV
Google Researchdescribed the technologyas a novel way to shrink AI’s working memory without impacting performance. The compression method, which uses a form of vector quantization to clear cache bottlenecks in AI processing, would essentially allow AI to remember more information while taking up less space and maintaining accuracy, according to the researchers.
They plan to present their findings at theICLR 2026conference next month, along with the two methods that are making this compression possible: the quantization methodPolarQuantand a training and optimization method calledQJL.
TurboQuant is the new Pied Piper 🤣pic.twitter.com/iMAYJs02zt
So basically TurboQuant is Pied Piperhttps://t.co/Zx9Oq84tSLpic.twitter.com/JPZjz8M3Wp
Understanding the math involved here is something researchers and computer scientists may be able to do, but the results are exciting the wider tech industry as a whole.
If successfully implemented in the real world, TurboQuant could make AI cheaper to run by reducing its runtime “working memory” — known as the KV cache — by “at least 6x.”
Some, like Cloudflare CEO Matthew Prince, areeven calling thisGoogle’sDeepSeek moment— a reference to theefficiency gainsdriven by the Chinese AI model, which was trained at a fraction of the cost of its rivals on worse chips, while remaining competitive on its results.
This is Google’s DeepSeek. So much more room to optimize AI inference for speed, memory usage, power consumption, and multi-tenant utilization. Lots of teams at@Cloudflarefocused on these areas.#staytunedhttps://t.co/hHoY4sLT2I
Well, we all know who stole the Pied Piper codebase nowhttps://t.co/Inv0nlMYnP
Still, it’s worth noting that TurboQuant hasn’t yet been deployed broadly; it’s still a lab breakthrough at this time.
That makes comparisons with something like DeepSeek, or even the fictional Pied Piper, more difficult. On TV, Pied Piper’s technology was going to radically change the rules of computing. TurboQuant, meanwhile, could lead to efficiency gains and systems that require less memory during inference. But it wouldn’t necessarily solve the wider RAM shortages driven by AI, given that it only targets inference memory, not training — the latter of which continues to require massive amounts of RAM.
Pied Piper would have been a better namehttps://t.co/qNZmtANFhs",9
TechCrunch,Nvidia is quietly building a multibillion-dollar behemoth to rival its chips business,https://techcrunch.com/2026/03/18/nvidia-networking-division-building-a-multibillion-dollar-behemoth-to-rival-its-chips-business/,2026-03-18 00:00:00,"Nvidia CEO Jensen Huang was years ahead of the market when he pushed the company to start tinkering withbuilding AI-specific chips back in 2010, more than a decade before the current buzz around AI. A similar move in 2020 — doubling down on data center networking with a strategic acquisition — has led to one of the company’s most lucrative and quickly growing divisions, but with little fanfare.
In just a few years, Nvidia’s networking business, designed to connect data centers, has grown into the company’s second-largest revenue driver behind compute. Last quarter, it reported $11 billion in revenue, a year-over-year increase of 267%, and brought in more than $31 billion for the full year, according to Nvidia’smost recent earnings.
Driven by growth in AI processing, the division includes tech like NVLink, which powers communication between GPUs on a data center rack; Nvidia InfiniBand Switches, an in-network computing platform;Spectrum-X, the ethernet platform for AI networking; and co-packaged optics switches, among others.
Together, Nvidia’s networking business includes all the tech needed for building an “AI factory,” a data center designed for training AI models.
Kevin Cook, a senior equity strategist at Zacks Investment research, told TechCrunch that Nvidia’s networking business is one of the most impressive new segments from the company. “[Nvidia’s networking business] reports $11 billion for the quarter; that number is greater than Cisco’s networking business, almost as big as the full-year estimates,” Cook said, adding it does in one quarter what Cisco’s business does in a year.
And yet — the business segment doesn’t draw the same attention as the company’s chip business, which is significantly larger. It also doesn’t get as much fanfare as the company’s gaming business, it’s original bread-and-butter business, which is nearly three times smaller.
The origin of Nvidia’s networking business comes from Mellanox, a networking company founded in Israel in 1999 thatNvidia acquired in 2020 for $7 billion.
Kevin Deierling is a senior vice president of networking at Nvidia. He joined the company through the acquisition of Mellanox. Deierling told TechCrunch that people not knowing about Nvidia’s networking business could be his fault for doing a bad job of marketing it — but he doesn’t like that answer.
“People think of networking as just, ‘I got a printer, and I need to connect to it,’” Deierling said. “Jensen said this the first day when he acquired us, he said the data center is the new unit of computing. Networking is a lot more than just moving the smaller amounts of data between a compute node; it’s actually a foundation.”
While Deierling said he didn’t really understand why Huang bought the company when he did — he gets it now. Having a networking business alongside its GPU business allows the company to sell its chips with the tech that they work best with.
“When Jensen bought Mellanox in 2020, he saw that was the missing piece to make GPUs a complete package,” Cook, the Zack’s analyst, said.
Deierling added that he thinks another aspect of Nvidia’s networking success is that customers can buy the tech as a full-stack solution, as opposed to just individual components, and it doesn’t actually sell the tech itself, but rather through its partners.
“I can’t think of other companies that have [the] full-stack capabilities that we have,” Deierling said. “We are really different. We build the full compute stack, fully integrated stack, and then we go to market through all of our partners.”
Nvidia just announced a whole new slew ofupdates to its networking systemduring Huang’s keynote address on March 16 at the company’s annualNvidia GTC technology conference. The company launched the Nvidia Rubin platform, which includes six new chips to power an “AI supercomputer.” Nvidia also announced a new Nvidia Inference Context Memory Storage platform and more efficient Nvidia Spectrum-X Ethernet Photonics switches, among other products.
“It’s no longer a peripheral to connect the printer, some other slow I/O device,” Deierling said about networking. “It’s fundamental to the computer. In the old days, we had what was called the backplane inside the computer. Today, the network is the back lining of the AI factory, and it’s super important.”
This piece has been updated to better reflect how the company sells its networking infrastructure.",9
Wired,ByteDance’s AI Ambitions Are Being Hampered by Compute Restraints and Copyright Concerns,https://www.wired.com/story/made-in-china-bytedances-ai-ambitions-are-being-hampered-by-compute-restraints/,2026-03-05T21:14:22Z,"Move over Sora 2, there’s a hot new AI video model in town.

In early February, ByteDance unveiled Seedance 2.0, a major upgrade to its flagship video model, which had previously remained fairly obscure. Its powerful capabilities immediately shocked the AI ecosystem in China, even among audiences who had once been skeptical of AI-generated video and viewed the technology mainly as a way to produce slop.

Feng Ji, the founder of Game Science, the studio that developed China’s global hit video game Black Myth: Wukong, wrote online that he was “deeply shocked” by the model’s abilities and believed Seedance 2.0 would pose significant challenges to China’s current copyright regulations and content moderation systems. Pan Tianhong, who leads a Chinese professional video production studio with over 15 million followers on social media, posted a video in which he said Seedance 2.0 is significantly better than any video-making models that came before it. “It thinks like a director,” Pan said.

However, most people can’t get their hands on the model at this moment because access remains fairly restricted. As of this week, ByteDance is only allowing existing users of its consumer-facing AI apps in China—the most popular one is the chatbot app Doubao, but the company also has a confusing constellation of lesser-known apps like Jimeng, Xiaoyunque, and Spark—to experience Seedance 2.0. All these apps are for the Chinese domestic market only, preventing people outside the country from testing the model themselves. (The restrictions have prompted some savvy people in China to resell their ByteDance accounts to eager early AI adopters overseas.)

But there are signs that the model might become more accessible soon. This week, ByteDance updated its API platform and disclosed the proposed pricing of Seedance 2.0: A 15-second video, the longest it can generate right now, would cost slightly more than $2 to make, Chinese publication IT Home estimated. ByteDance still hasn’t opened up API access to third-party developers, but that should be on the horizon.

Afra Wang, author of the Substack newsletter Concurrent and a close observer of the US-China AI landscape, tells me that Seedance 2.0 is another interesting example of how the two countries have taken diverging paths. Even before the release of Seedance 2.0, some of the most established video-making AI tools in the world, such as Kling AI, were developed by Chinese companies. “​​China hasn’t produced any decent AI coding tool, which is why Chinese people are all dependent on Claude Code or Codex; but when it comes to video AI, China is miles ahead of the US,” Wang says.

But all the hype aside, Seedance is running into two serious problems. Weeks into its release, ByteDance is facing a compute bottleneck that is causing the model to take hours to generate a single video. Meanwhile, major movie studios, including Disney, Netflix, and Paramount, have all sent ByteDance cease-and-desist letters alleging that Seedance 2.0’s outputs are infringing on their copyrighted works. ByteDance did not immediately return a request for comment.

The Bandwidth Problem

Even if you get access to a ByteDance AI app, it’s still far from easy to generate a video with Seedance 2.0, because too many people are trying to do the same thing, and ByteDance has yet to provide enough compute resources for everyone.

When I tried to create a clip with one of ByteDance’s apps this week, it told me that I was number 90,985 in the queue, and it would take about four hours to generate a five-second video. After waiting for two hours, the app told me I now had six more to go. At that point, I decided to just go to bed.",9
TechCrunch,Cohere launches an open source voice model specifically for transcription,https://techcrunch.com/2026/03/26/cohere-launches-an-open-source-voice-model-specifically-for-transcription/,2026-03-26 00:00:00,"Enterprise AI company Cohere on Thursday launched its first voice model: Transcribe is an open source automatic speech recognition model that can be used for tasks like note-taking and speech analysis.
Relatively light at just 2 billion parameters, the model is meant for use with consumer-grade GPUs for those who want to self-host it. It currently supports 14 languages: English, French, German, Italian, Spanish, Portuguese, Greek, Dutch, Polish, Chinese, Japanese, Korean, Vietnamese, and Arabic.
Cohere says Transcribe beats models such as Zoom Scribe v1, IBM Granite 4.0 1B, ElevenLabs Scribe v2, and Qwen3-ASR-1.7B Speech onthe Hugging Face Open ASR leaderboard, achieving an average word error rate (WER) of 5.42, lower than any other model on the benchmark.
The company claims Transcribe had an average win rate of 61% over other models when human evaluators assessed its transcriptions for accuracy, coherence, and usability. However, the model fell behind its rivals when it had to transcribe Portuguese, German, and Spanish.
Cohere says Transcribe can process 525 minutes of audio in a minute, which is high for its class of model.
The company is planning to integrate Transcribe into its enterprise agent orchestration platform,North, and is making the model available through itsAPIfor free. The model will also be available onModel Vault, Cohere’s managed inference platform.
Speech recognition models are growing increasingly popular as demand grows for note-taking and dictation apps like Granola andWispr Flow.
Earlier this year, Cohere reportedlytoldinvestors that it was generating annual recurring revenue of $240 million in 2025, and its CEO, Aidan Gomez, was cited as saying that the startupmay go public “soon”.
",8
TechCrunch,"Nvidia’s DLSS 5 uses generative AI to boost photorealism in video games, with ambitions beyond gaming",https://techcrunch.com/2026/03/16/nvidias-dlss-5-uses-generative-ai-to-boost-photo-realism-in-video-games-with-ambitions-beyond-gaming/,2026-03-16 00:00:00,"Nvidia CEO Jensen Huang used the company’s keynote atNvidia GTCon Monday to introduce DLSS 5, a new version of the chipmaker’s AI graphics tech designed to make video games more realistic while using less compute power.
The new DLSS 5 system combines traditional 3D graphics data with generative AI models that can predict and fill in parts of an image, allowing Nvidia’s GPUs to produce detailed scenes and lifelike characters without rendering every element from scratch.
“We fused controllable 3D graphics, the ground truth of virtual worlds, the structured data … with generative AI, probabilistic computing,” Huang said during his keynote speech. “One of them is completely predictive, the other one is probabilistic yet highly realistic.”
Huang said combining those two ideas — structured data with generative AI — allows developers to create content that is “beautiful, amazing, as well as controllable.”
Loading the player…
“This concept of fusing structured information and generative AI will repeat itself in one industry after another,” Huang said. “Structured data is the foundation of trustworthy AI.”
Gaming makes up a smaller portion of Nvidia’s revenue today than it has historically, though that’s the industry that made Nvidia into what it is today. Huang framed DLSS 5’s approach as an example of a broader computing shift, suggesting the approach could extend far beyond gaming and even into enterprise computing.
The billionaire executive pointed to enterprise data platforms such as Snowflake, Databricks, and BigQuery as examples of structured datasets that future AI systems could analyze and generate insights from.
“In the future, what’s going to happen is these data structures are going to be used by AI, and AI is going to be much, much faster than us,” Huang said. “Future agents are going to use structured databases as well as the unstructured database, the generative database. This database represents the vast majority of the world.”",8
The Verge,DLSS 5: Has Nvidia’s AI graphics technology gone too far?,https://www.theverge.com/games/896518/nvidia-dlss-5-ai-3d-rendering,2026-03-18T12:25:06Z,"Nvidia has revealed a new “3D guided neural rendering model” called DLSS 5 that can change a game’s lighting and materials in real-time, and… many gamers aren’t happy. From DLSS 5 memes to complaints about how it’s “yassified” Resident Evil Requiem characters in demos, the first impression has not been a good one, no matter how much Nvidia insists that this pursuit of photorealism is still honoring the original artists’ intent.",8
TechCrunch,Spotify tests new tool to stop AI slop from being attributed to real artists,https://techcrunch.com/2026/03/24/spotify-tests-new-tool-to-stop-ai-slop-from-being-attributed-to-real-artists/,2026-03-24 00:00:00,"At a time whenAI slopisflooding music streamingplatforms, Spotify is beta testing a new “Artist Profile Protection” feature that allows artists to review releases before they go live on their profiles. The idea behind the new tool is to give artists more control over which tracks are associated with their name on the streaming service.
“Music has been landing on the wrong artist pages across streaming services, and the rise of easy-to-produce AI tracks has made the problem worse,” Spotify wrote in ablog post. “That’s not the experience we want artists to have on Spotify, and that’s why we’ve made protecting artist identity a top priority for 2026. Today, we’re announcing a first-of-its-kind solution to a problem that’s affected streaming for years.”
Artists in the beta have the ability to review and approve or decline releases delivered to Spotify. Only the releases that they approve will appear on their artist profile, contribute to their stats, and show up in users’ recommendations.
Spotify’s announcement comes a week after Sony Music said that it hasrequested the removalof more than 135,000 AI-generated songs impersonating its artists on streaming services.
Spotify says that while open distribution has made it easier for independent artists to release music, it also creates opportunities for mistakes and bad actors. Tracks can end up on the wrong artist’s profile due to metadata errors, confusion between artists with the same name, or malicious attempts to attach music to an artist’s profile.
“When that happens, it can impact your catalog, your stats, your Release Radar, and how fans discover your music,” Spotify explains. “We know how frustrating this can be for both artists and fans alike and one of the top requests we’ve heard from artists over the past year is that you want more visibility before music appears under your name.”
Spotify notes that while the new feature isn’t necessary for every artist, it’s designed for artists who have experienced repeated incorrect releases, have a common artist name, or want more control over what appears on their profile.
Artists who are included in the beta will see the feature in their “Spotify for Artists” settings on desktop and mobile web. If they turn “Artist Profile Protection” on, they’ll receive an email notification when music is delivered to Spotify with their name attached to it. From there, they can approve or decline the request.",8
TechCrunch,Google launches Lyria 3 Pro music generation model,https://techcrunch.com/2026/03/25/google-launches-lyria-3-pro-music-generation-model/,2026-03-25 00:00:00,"Googleannouncedon Wednesday that it’s releasing Lyria 3 Pro, a music generation model, a month afterLyria 3’srelease. The new model will let users create tracks up to three minutes long, as compared to the 30-second-long tracks offered with the Lyria 3 model.
The company said that, apart from allowing users to create longer tracks, the Lyria 3 Pro model will offer better creative control and customization. In the prompt, users can also specify different elements of a musical piece, such as intros, verses, choruses, and bridges, as the model understands track structure better than its predecessor.
Google previously brought music generation capability tothe Gemini app with the Lyria 3 release. The Pro model is also rolling out in the Gemini app, but only paid subscribers will gain access to it. The company is also rolling out Lyria 3 Pro to itsGoogle Vids video editing appand ProducerAI, aGenAI-powered music production tool, which Google acquired last month.
In addition, Google is adding music generation capability to its enterprise tools with Vertex AI (in public preview), the Gemini API, and AI Studio through the Lyria 3 Pro model.
Google emphasized that it used data from its partners and permissible data from YouTube and Google to train this model. It also said that the model doesn’t mimic an artist. However, it said that if users specify an artist in prompts, it takes “broad inspiration” from that artist to generate a track.
All tracks that are created using Lyria 3 and Lyria 3 Pro are marked with SynthID to denote that AI was used to make this track.
Earlier this week, Spotify released new tools to let artistsreview songs released under their nameso that AI slop creators don’t misattribute music. Meanwhile, Deezer has launchedtools to let any streaming service identify AI-generated music.
",8
