fuente,titulo,url,fecha,contenido,relevancia
TechCrunch,Guide Labs debuts a new kind of interpretable LLM,https://techcrunch.com/2026/02/23/guide-labs-debuts-a-new-kind-of-interpretable-llm/,2026-02-23 00:00:00,"The challenge of wrangling a deep learning model is often understanding why it does what it does: Whether it’s xAI’s repeated struggle sessions to fine-tune Grok’s odd politics, ChatGPT’s struggles with sycophancy, or run-of-the-mill hallucinations, plumbing through a neural network with billions of parameters isn’t easy.
Guide Labs, a San Francisco startup founded by CEO Julius Adebayo and chief science officer Aya Abdelsalam Ismail, is offering an answer to that problem today. On Monday, the company open sourced an 8-billion-parameter LLM,Steerling-8B, trained with a new architecture designed to make its actions easily interpretable: Every token produced by the model can be traced back to its origins in the LLM’s training data.
That can be as simple as determining the reference materials for facts cited by the model, or as complex as understanding the model’s understanding of humor or gender.
“If I have a trillion ways to encode gender, and I encode it in 1 billion of the 1 trillion things that I have, you have to make sure you find all those 1 billion things that I’ve encoded, and then you have to be able to reliably turn that on, turn them off,” Adebayo told TechCrunch. “You can do it with current models, but it’s very fragile … It’s sort of one of the holy grail questions.”
Adebayo began this work while earning his PhD at MIT, co-authoring a widely cited2018 paperthat showed existing methods of understanding deep learning models were not reliable. That work ultimately led to the creation of a new way of building LLMs: Developers insert a concept layer in the model that buckets data into traceable categories. This requires more up-front data annotation, but by using other AI models to help, they were able to train this model as their largest proof of concept yet.
“The kind of interpretability people do is … neuroscience on a model, and we flip that,” Adebayo said. “What we do is actually engineer the model from the ground up so that you don’t need to do neuroscience.”
One concern with this approach is that it might eliminate some of the emergent behaviors that make LLMs so intriguing: Their ability to generalize in new ways about things they haven’t been trained on yet. Adebayo says that still happens in his company’s model: His team tracks what they call “discovered concepts” that the model discovered on its own, like quantum computing.
Adebayo argues this interpretable architecture will be something everyone needs. For consumer-facing LLMs, these techniques should allow model builders to do things like block the use of copyrighted materials, or better control outputs around subjects like violence or drug abuse. Regulated industries will require more controllable LLMs — for example, in finance — where a model evaluating loan applicants needs to consider things like financial records but not race. There’s also a need for interpretability in scientific work, another area where Guide Labs has developed technology. Protein folding has been a big success for deep learning models, but scientists need more insight into why their software figured out promising combinations.
“This model demonstrates that training interpretable models is no longer a sort of science; it’s now an engineering problem,” Adebayo said. “We figured out the science and we can scale them, and there is no reason why this kind of model wouldn’t match the performance of the frontier level models,” which have many more parameters.
Guide Labs says that Steerling-8B can achieve 90% of the capability of existing models, but uses less training data, thanks to its novel architecture. The next step for the company, which emerged from Y Combinator and raised a $9 million seed round from Initialized Capital in November 2024, is to build a larger model and begin offering API and agentic access to users.
“The way we’re currently training models is super primitive, and so democratizing inherent interpretability is actually going to be a long-term good thing for our role within the human race,” Adebayo told TechCrunch. “As we’re going after these models that are going to be super intelligent, you don’t want something to be making decisions on your behalf that’s sort of mysterious to you.”
",8
Wired,A New AI Math Startup Just Cracked 4 Previously Unsolved Problems,https://www.wired.com/story/a-new-ai-math-ai-startup-just-cracked-4-previously-unsolved-problems/,2026-02-04T19:00:00Z,"Five years ago, mathematicians Dawei Chen and Quentin Gendron were trying to untangle a difficult area of algebraic geometry involving differentials, elements of calculus used to measure distance along curved surfaces. While working on one theorem, they ran into an unexpected roadblock: Their argument depended on a strange formula from number theory, but they were unable to solve or justify it. In the end, Chen and Gendron wrote a paper presenting their idea as a conjecture, rather than a theorem.

Chen recently spent hours prompting ChatGPT in the hopes of getting the AI to come up with a solution to the still unsolved problem, but it wasn’t working. Then, during a reception at a math conference in Washington, DC, last month, Chen ran into Ken Ono, a well-known mathematician who had recently left his job at the University of Virginia to join Axiom, an artificial intelligence startup cofounded by one of his mentees, Carina Hong.

Chen told Ono about the problem, and the following morning, Ono presented him with a proof, courtesy of his startup’s math-solving AI, AxiomProver. “Everything fell into place naturally after that,” says Chen, who worked with Axiom to write up the proof, which has now been posted to arXiv, a public repository for academic papers.

Axiom’s AI tool found a connection between the problem and a numerical phenomenon first studied in the 19th century. It then devised a proof, which it helpfully verified itself. “What AxiomProver found was something that all the humans had missed,” Ono tells WIRED.

The proof is one of several solutions to unsolved math problems that Axiom says its system has come up with in recent weeks. The AI has not yet solved any of the most famous (or lucrative) problems in the field of mathematics, but it has found answers to questions that have stumped experts in different areas for years. The proofs are evidence of AI’s steadily advancing math abilities. In recent months, other mathematicians have reported using AI tools to explore new ideas and solve existing problems.

The techniques being developed by Axiom may prove useful outside the world of advanced math. For example, the same approaches could be used to develop software that is more resilient to certain kinds of cybersecurity attacks. This would involve using AI to verify that code is provably reliable and trustworthy.

“Math is really the great test ground and sandbox for reality,” says Hong, Axiom’s CEO. “We do believe that there are a lot of pretty important use cases of high commercial value.”

Axiom’s approach involves combining large language models with a proprietary AI system called AxiomProver that is trained to reason through math problems to reach solutions that are provably correct. In 2024, Google demonstrated a similar idea with a system called AlphaProof. Hong says that AxiomSolver incorporates several significant advances and newer techniques.

Ono says the AI-generated proof for the Chen-Gendron conjecture shows how AI can now meaningfully assist professional mathematicians. “This is a new paradigm for proving theorems,” he says.

Axiom’s system is more than just a regular AI model, in that it is able to verify proofs using a specialized mathematical language called Lean. Rather than just search through the literature, this allows AxiomProver to develop genuinely novel ways of solving problems.

Another one of the new proofs generated by AxiomProver demonstrates how the AI is capable of solving math problems entirely on its own. That proof, which has also been described in a paper posted to arXiv, provides a solution to Fel’s Conjecture, which concerns syzygies, or mathematical expressions where numbers line up in algebra. Remarkably, the conjecture involves formulas first found in the notebook of legendary Indian mathematician Srinivasa Ramanujan more than 100 years ago. In this case AxiomProver did not just fill in a missing piece of the puzzle, it devised the proof from start to finish.",8
TechCrunch,Cohere launches a family of open multilingual models,https://techcrunch.com/2026/02/17/cohere-launches-a-family-of-open-multilingual-models/,2026-02-17 00:00:00,"Enterprise AI company Cohere launched a new family of multilingual models on the sidelines of the ongoing India AI Summit. The models, dubbed Tiny Aya, are open-weight — meaning their underlying code is publicly available for anyone to use and modify — support over 70 languages, and can run on everyday devices like laptops without requiring an internet connection.
The model, launched by the company’s research arm Cohere Labs, supports South Asian languages such as Bengali, Hindi, Punjabi, Urdu, Gujarati, Tamil, Telugu, and Marathi.
The base model contains 3.35 billion parameters — a measure of its size and complexity. Cohere has also launched TinyAya-Global, a version fine-tuned to better follow user commands, for apps that require broad language support. Regional variants round out the family: TinyAya-Earth for African languages; TinyAya-Fire for South Asian languages; and TinyAya-Water for Asia Pacific, West Asia, and Europe.
“This approach allows each model to develop stronger linguistic grounding and cultural nuance, creating systems that feel more natural and reliable for the communities they are meant to serve. At the same time, all Tiny Aya models retain broad multilingual coverage, making them flexible starting points for further adaptation and research,” the company said in a statement.
Cohere noted that these models, which were trained on a single cluster of 64 H100 GPUs (a type of high-powered chip by Nvidia) using relatively modest computing sources, are ideal for researchers and developers building apps for audiences that speak native languages. The models are capable of running directly on devices, so developers can use them to power offline translation. The company noted that it built its underlying software to suit on-device usage, requiring less computing power than most comparable models.
In linguistically diverse countries like India, this kind of offline-friendly capability can open up a diverse set of applications and use cases without the need for constant internet access.
The models are available on HuggingFace, the popular platform for sharing and testing AI models, and the Cohere Platform. Developers can download them on HuggingFace, Kaggle, and Ollama for local deployment. The company is also releasing training and evaluation datasets on HuggingFace and plans to release a technical report detailing its training methodology.
The startup’s CEO, Aidan Gomez, said last year that the company plans to go public “soon.” According toCNBC, the company ended 2025 on a high note, posting$240 million in annual recurring revenue, with 50% growthquarter-over-quarter throughout the year.",7
TechCrunch,Anthropic releases Sonnet 4.6,https://techcrunch.com/2026/02/17/anthropic-releases-sonnet-4-6/,2026-02-17 00:00:00,"Anthropic has released a new version of its midsized Sonnet model, keeping pace with the company’s four-month update cycle.In a post announcing the new model, Anthropic emphasized improvements in coding, instruction-following, and computer use.
Sonnet 4.6 will be the default model for Free and Pro plan users.
The beta release of Sonnet 4.6 will include a context window of 1 million tokens, twice the size of the largest window previously available for Sonnet. Anthropic described the new context window as “enough to hold entire codebases, lengthy contracts, or dozens of research papers in a single request.”
The release comes just two weeks afterthe launch of Opus 4.6, with an updated Haiku model likely to follow in the coming weeks.
The launch comes with a new set of record benchmark scores, including OS World for computer use and SWE-Bench for software engineering. But perhaps the most impressive is its 60.4% score on ARC-AGI-2, meant to measure skills specific to human intelligence. The score puts Sonnet 4.6 above most comparable models, although it still trails models like Opus 4.6, Gemini 3 Deep Think, and one refined version of GPT 5.2.",7
TechCrunch,Adobe Firefly’s video editor can now automatically create a first draft from footage,https://techcrunch.com/2026/02/25/adobe-fireflys-video-editor-can-now-automatically-create-a-first-draft-from-footage/,2026-02-25 00:00:00,"The video editor in Adobe Firefly is getting a new feature called Quick Cut that uses AI to edit footage and B-roll to create a first draft of the final video based on user instructions.
Typically, you have to upload your footage and B-roll into a video editor, and manually arrange transitions. With Quick Cut, users can describe what they want the video to be in natural language, and the tool will automatically edit out irrelevant parts of the footage, and put together the different takes while using appropriate footage to make transitions between cuts.
Users can also pick frames from the B-roll and use one of the video models available within Firefly to create short transitions.
You can use the prompt box within the Firefly video editor to specify settings like aspect ratio and pacing between transitions, or add optional B-roll footage. Users can apply Quick Cut to the entire project, a particular timeline, or selected clips.
Loading the player…
Adobe stressed that the aim of Quick Cut is to deliver a first draft, so editors will still need to adjust elements, paste takes together, and work on transitions to put together the video.
“As we talk to our users, who are creators and marketers, the biggest problem they actually communicate is the need for fast turnaround, the need for time-saving techniques that just let them get to their creative vision as fast as possible,” Mike Folgner, product lead for AI and next-generation video tools, told TechCrunch.
“One thing we do know is that some of the mundane parts that come with video [editing], like just getting the selects in order, that’s not really where they find joy and difference. They find joy in putting their spin on it. So Quick Cut is meant to help creators who have a set of media find the story very quickly and just get to a story cut as fast as possible,” he added.
Adobe has been pushing regular updates to its video-related tools. In December, it rolled outa new timeline-based video editorthat brought layers and prompt-based editing — the editor treats different objects as layers and allows you to edit them using prompts, or use tools like resize and rotate.
The company has also addedprompt-based editing capabilitiesto Firefly, letting users tell the video model how to edit video elements, colors, and camera angles, as well as a timeline view that lets you adjust frames, sounds, and other characteristics easily.",7
TechCrunch,Google adds music-generation capabilities to the Gemini app,https://techcrunch.com/2026/02/18/google-adds-music-generation-capabilities-to-the-gemini-app/,2026-02-18 00:00:00,"Google announced on Wednesday that it’s adding a music-generation feature to the Gemini app. The company is usingDeepMind’s Lyria 3 music-generation modelto power the feature, which is still in beta.
To use the feature, you’ll describe the song you want to create, and the app will generate a track along with lyrics. For instance, you could ask Gemini to create a “comical R&B slow jam about a sock finding its match,” and the app will generate a 30-second track along with cover art made by Nano Banana.
Google said that you can even upload a photo or a video, and the AI-powered tool will create a song to match the mood of the media file.
Loading the player…
The company said that Lyria 3 improves onthe previous generation of models, creating more realistic and complex music tracks. Users can also change and control other elements like style, vocals, and tempo.
Along with rolling out Lyria 3 to the Gemini app, Google is making the model available to YouTube creators through the Dream Track feature on YouTube,a toolthat helps creators make AI-generated tracks. The option was only available to YouTube creators in the U.S. until now. But with this release, Google is expanding Dream Track availability globally.
Google said that you can’t mimic an artist outright, but if you add an artist’s name to your prompt, Gemini will create a track in a similar style or a mood. (It’s not clear if generation will make it easier for others to decode the music style of a particular artist.)
“Music generation with Lyria 3 is designed for original expression, not for mimicking existing artists. If your prompt names a specific artist, Gemini will take this as broad creative inspiration and create a track that shares a similar style or mood. We also have filters in place to check outputs against existing content,” the company said in ablog post.
Google noted that all songs created with the Lyria 3 model will have a SynthID watermark to identify AI-generated content. The company said that it’s alsoadding capabilities to identify AI-generated musicwith SynthID within Gemini. Users will be able to upload tracks and ask Gemini if it is AI-generated.
Music generation is rolling out to all 18+ Gemini users across the world with support for English, German, Spanish, French, Hindi, Japanese, Korean, and Portuguese.
AI-generated music has created mixed sentiments among artists and listeners. On one hand, companies like YouTube and Spotify are adopting AI and signing contracts with music labels to monetize AI-generated music. On the other hand, AI model and tooling companies are facing lawsuits from the music industry over copyrights of the training material. Platforms likeDeezer have published tools to mark AI-generated musicto curb fraudulent streams of this kind of music.",7
TechCrunch,Indian AI lab Sarvam’s new models are a major bet on the viability of open source AI,https://techcrunch.com/2026/02/18/indian-ai-lab-sarvams-new-models-are-a-major-bet-on-the-viability-of-open-source-ai/,2026-02-18 00:00:00,"Indian AI labSarvamon Tuesday unveiled a new generation of large language models, as it bets that smaller, efficient open source AI models will be able to grab some market share away from more expensive systems offered by its much larger U.S. and Chinese rivals.
The launch, announced at theIndia AI Impact Summitin New Delhi, aligns with New Delhi’spush to reduce reliance on foreign AI platformsand tailor models to local languages and use cases.
Sarvam said the new lineup includes 30-billion- and 105-billion-parameter models; a text-to-speech model; a speech-to-text model; and a vision model to parse documents. These mark a sharp upgrade from the company’s 2-billion-parameter Sarvam 1 model that it released in October 2024.
The 30-billion- and 105-billion-parameter models use a mixture-of-experts architecture, which activates only a fraction of their total parameters at a time, significantly reducing computing costs, Sarvam said. The 30B model supports a 32,000-token context window aimed at real-time conversational use, while the larger model offers a 128,000-token window for more complex, multi-step reasoning tasks.
Sarvam said the new AI models were trained from scratch rather than fine-tuned on existing open source systems. The 30B model was pre-trained on about 16 trillion tokens of text, while the 105B model was trained on trillions of tokens spanning multiple Indian languages, it said.
The models are designed to support real-time applications, the startup said, including voice-based assistants and chat systems in Indian languages.
The startup said the models were trained using computing resources provided under India’s government-backed IndiaAI Mission, with infrastructure support from data center operator Yotta and technical support from Nvidia.
Sarvam executives said the company plans to take a measured approach to scaling its models, focusing on real-world applications rather than raw size.
“We want to be mindful in how we do the scaling,” Sarvam co-founder Pratyush Kumar said at the launch. “We don’t want to do the scaling mindlessly. We want to understand the tasks which really matter at scale and go and build for them.”
Sarvam said it plans to open source the 30B and 105B models, though it did not specify whether the training data or full training code would also be made public.
The company also outlined plans to build specialized AI systems, including coding-focused models and enterprise tools under a product it calls Sarvam for Work, and a conversational AI agent platform called Samvaad.
Founded in 2023, Sarvam has raised more than $40 million in funding andcountsLightspeed Venture Partners, Khosla Ventures, and Peak XV Partners (formerly Sequoia Capital India) among its investors.",7
TechCrunch,Spanish ‘soonicorn’ Multiverse Computing releases free compressed AI model,https://techcrunch.com/2026/02/24/spanish-soonicorn-multiverse-computing-releases-free-compressed-ai-model/,2026-02-24 00:00:00,"Large language models have a problem: they are large.Multiverse Computing, a Spanish startup, is addressing this issue with compressed models that aim to close the gap between what frontier models can do and what companies can actually afford to deploy.
The secret sauce is CompactifAI, a compression technology inspired by quantum computing that the Basque company hasapplied to modelsreleased by OpenAI. As of today, developers can access a newer version of Multiverse’s HyperNova 60B model for free onHugging Face. The company also plans to open source more compressed models in 2026 to support a wider range of use cases.
According to Multiverse, its models are smaller, but nearly as potent and accurate. At 32GB, HyperNova 60B is roughly half the size of the model it derives from — OpenAI’s gpt-oss-120b — while boasting lower memory usage and lower latency. The updated version, calledHyperNova 60B 2602, now also better supports ​​tool calling and agentic coding, where inference costs can be high.
One of the competitors Multiverse claims to have beaten with HyperNova 60B isMistral Large 3, one of the models released byFrench decacorn Mistral AI. But beyond the technological rivalry, the two European AI companies also have a lot in common.
Like Mistral, Multiverse has expanded beyond its home country, with offices in the United States, Canada, and across Europe. Both companies also have enterprise customers. In Multiverse’s case, it names Iberdrola, Bosch, and the Bank of Canada.
And while Multiverse is not officially a unicorn yet, it is nowrumored to be raising a fresh €500 million funding roundat a valuation of more than €1.5 billion. In a statement shared with TechCrunch, the company confirmed that active discussions with potential investors toward a new funding round are ongoing, but added it would be premature to comment on valuation or funding size at this stage. Multiverse also declined to comment on reports that its annual recurring revenue (ARR) reached €100 million in January.
If confirmed, this would still only be a fraction ofOpenAI’s $20 billion ARR; but not that far from Mistral’s, whose ARRsoared to over $400 million, owing in part to growing demand for alternatives to U.S. tech. Similarly, Multiverse positions itselfin its latest press releaseas a company that can “deliver sovereign solutions across the AI stack.”
These geopolitical undertones recently helped Multiverse securea collaboration with the regional government of Aragón, in northeastern Spain. The Spanish Agency for Technological Transformation (SETT) also participated in the AI startup’s$215 million Series Blast year.Since its inception, Multiverse has also benefited from support from the Basque region — which could very soon count its first unicorn.",7
TechCrunch,Running AI models is turning into a memory game,https://techcrunch.com/2026/02/17/running-ai-models-is-turning-into-a-memory-game/,2026-02-17 00:00:00,"When we talk about the cost of AI infrastructure, the focus is usually on Nvidia and GPUs — but memory is an increasingly important part of the picture. As hyperscalers prepare to build out billions of dollars’ worth of new data centers, the price for DRAM chips has jumpedroughly 7x in the last year.
At the same time, there’s a growing discipline in orchestrating all that memory to make sure the right data gets to the right agent at the right time. The companies that master it will be able to make the same queries with fewer tokens, which can be the difference between folding and staying in business.
Semiconductor analystDoug O’Laughlinhas an interesting look at the importance of memory chips on his Substack, where he talks with Val Bercovici, chief AI officer at Weka. They’re both semiconductor guys, so the focus is more on the chips than the broader architecture; the implications for AI software are pretty significant too.
I was particularly struck by this passage, in which Bercovici looks at the growing complexity ofAnthropic’s prompt-caching documentation:
The tell is if we go to Anthropic’s prompt caching pricing page. It started off as a very simple page six or seven months ago, especially as Claude Code was launching — just “use caching, it’s cheaper.” Now it’s an encyclopedia of advice on exactly how many cache writes to pre-buy. You’ve got 5-minute tiers, which are very common across the industry, or 1-hour tiers — and nothing above. That’s a really important tell. Then of course you’ve got all sorts of arbitrage opportunities around the pricing for cache reads based on how many cache writes you’ve pre-purchased.
The question here is how long Claude holds your prompt in cached memory: You can pay for a 5-minute window, or pay more for an hour-long window. It’s much cheaper to draw on data that’s still in the cache, so if you manage it right, you can save an awful lot. There is a catch though: Every new bit of data you add to the query may bump something else out of the cache window.
This is complex stuff, but the upshot is simple enough: Managing memory in AI models is going to be a huge part of AI going forward. Companies that do it well are going to rise to the top.
And there is plenty of progress to be made in this new field. Back in October, I covereda startup called Tensormeshthat was working on one layer in the stack known as cache optimization.
Opportunities exist in other parts of the stack. For instance, lower down the stack, there’s the question of how data centers are using the different types of memory they have. (The interview includes a nice discussion of when DRAM chips are used instead of HBM, although it’s pretty deep in the hardware weeds.) Higher up the stack, end users are figuring out how to structure their model swarms to take advantage of the shared cache.
As companies get better at memory orchestration, they’ll use fewer tokens and inference will get cheaper. Meanwhile,models are getting more efficient at processing each token, pushing the cost down still further. As server costs drop, a lot of applications that don’t seem viable now will start to edge into profitability.",6
TechCrunch,Gemini can now automate some multi-step tasks on Android,https://techcrunch.com/2026/02/25/gemini-can-now-automate-some-multi-step-tasks-on-android/,2026-02-25 00:00:00,"Google on Wednesday announced a series of updates to its Gemini AI-powered features on the Android operating system, the most notable being a new way to use the AI to handle multi-step tasks like ordering an Uber or food delivery. These automations join other Gemini improvements shipping today, including an expansion of scam detection for phone calls and Circle to Search updates that now let you identify all the items on your phone’s screen.
The automations, explains Google, allow users to essentially offload their to-do list to Gemini. In practice, however, the types of things that Gemini can manage are still limited.
The company says that the feature, which is in beta, will initially support select apps in the food, grocery, and rideshare categories. And it will initially be available only in the U.S. and Korea.
In the U.S. and Korea, this includes apps like DoorDash, Grubhub, Instacart, Lyft, McDonald’s, Starbucks, Uber, and Uber Eats. In Korea, Kaemin and Kakao T will also be supported.
At launch, the feature will be limited to the Gemini app on certain devices, including the Pixel 10, Pixel 10 Pro, and Samsung Galaxy S26 series.
AI-powered automations could potentially go wrong, of course, so Google has added some protections. For starters, the automations can’t be kicked off without an explicit command from the device’s owner. As they run, you can watch their progress in real time and stop the task if it’s making a mistake or getting stuck. Google notes also that the automations take place in a secure, virtual window on your phone where they can only access limited apps, not the rest of the data on your device.
The feature ties into the growing trend of using AI to automate more tasks in users’ personal lives. ChatGPT, for instance, letsusers create tasksthat can be run on schedules or at specific times, as well as offeringan agentthat can complete a variety of computer-based tasks like navigating a calendar, generating a slideshow, or running code.Anthropic’s Cowork, meanwhile, brings the capabilities of its Claude AI to non-coding tasks, letting non-developers automate everyday file and task management. And, of course, an AI tool calledOpenClawrecentlywent viralfor its ability to manage everyday tasks like sending emails, managing calendars, checking into flights, and more.
Another Gemini update arriving now is the expansion of a Scam Detection feature for phone calls, which is becoming available on Samsung Galaxy S26 series devices in the U.S. (The feature is already offered on Pixel phones in the U.S., Australia, Canada, India, Ireland, and the U.K.) Google is also using its Gemini on-device model to detect scam texts in the U.S., Canada, and the U.K. on Pixel 10 series devices, and soon on the Galaxy S26 series phones, as well.
Finally, Google says its Circle to Search feature, which lets you use gestures like scribbles and circling to initiate searches, can now search for everything you’re seeing on the phone screen, not just a single object. That means you can search every item of clothing and every accessory in an outfit you like, or learn more about a group of things and the related topic on the screen.
Google has been steadily releasing Gemini updates to its Android ecosystem at regular intervals through new operating system updates and updates targeted toward its flagship phone, the Google Pixel, via its frequent updatesknown as Pixel Drops. Meanwhile, Apple has beenstruggling to releasea more comprehensive AI feature set, which is set to include an AI-powered Siri — a launch that was recentlypushed back againto later in the year.",6
